your         + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
could        + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
could        + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
could        + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
they'll      + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
they'll      + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
they'll      + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
they'll      + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
they'll      + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
our          + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
our          + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
our          + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
our          + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
our          + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
never        + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
never        + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
never        + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
never        + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
never        + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
over         + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
over         + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
over         + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
over         + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
over         + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
need         + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
need         + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
need         + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
need         + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
need         + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
said         + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
said         + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
said         + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
said         + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
said         + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
couldn't     + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
couldn't     + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
couldn't     + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
couldn't     + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
couldn't     + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
where's      + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
where's      + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
where's      + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
where's      + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
where's      + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
doesn't      + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
doesn't      + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
doesn't      + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
doesn't      + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
doesn't      + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
should       + s -> ViNew plain, shouldTone=False isValid=False endsVowel=False
should       + f -> ViNew plain, shouldTone=False isValid=False endsVowel=False
should       + r -> ViNew plain, shouldTone=False isValid=False endsVowel=False
should       + x -> ViNew plain, shouldTone=False isValid=False endsVowel=False
should       + j -> ViNew plain, shouldTone=False isValid=False endsVowel=False
